Customer ID,Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,segment
12346.0,326,1,77183.6,5,1,5,51,new_customers
12347.0,3,7,4310.000000000001,1,5,5,15,cant_loose
12348.0,76,4,1797.24,4,4,4,44,loyal_customers
12349.0,19,1,1757.5500000000002,2,1,4,21,hibernating
12350.0,311,1,334.40000000000003,5,1,2,51,new_customers
12352.0,37,8,2506.0400000000004,3,5,5,35,loyal_customers
12353.0,205,1,89.0,5,1,1,51,new_customers
12354.0,233,1,1079.3999999999999,5,1,4,51,new_customers
12355.0,215,1,459.4,5,1,2,51,new_customers
12356.0,23,3,2811.43,2,3,5,23,at_Risk
12357.0,34,1,6207.67,3,1,5,31,about_to_sleep
12358.0,2,2,1168.06,1,2,4,12,hibernating
12359.0,58,4,6372.58,3,4,5,34,loyal_customers
12360.0,53,3,2662.06,3,3,5,33,need_attention
12361.0,288,1,189.89999999999998,5,1,1,51,new_customers
12362.0,4,10,5226.23,1,5,5,15,cant_loose
12363.0,110,2,552.0,4,2,3,42,potential_loyalists
12364.0,8,4,1313.1000000000001,1,4,4,14,at_Risk
12365.0,292,2,641.3799999999999,5,2,3,52,potential_loyalists
12367.0,5,1,168.89999999999998,1,1,1,11,hibernating
12370.0,52,4,3545.6899999999996,3,4,5,34,loyal_customers
12371.0,45,2,1887.96,3,2,4,32,about_to_sleep
12372.0,72,3,1298.0400000000002,3,3,4,33,need_attention
12373.0,312,1,364.6,5,1,2,51,new_customers
12374.0,26,1,742.93,2,1,3,21,hibernating
12375.0,11,2,457.5,1,2,2,12,hibernating
12377.0,316,2,1628.12,5,2,4,52,potential_loyalists
12378.0,130,1,4008.62,4,1,5,41,promising
12379.0,82,2,852.24,4,2,3,42,potential_loyalists
12380.0,22,4,2724.8100000000004,2,4,5,24,at_Risk
12381.0,5,5,1845.3100000000004,1,4,4,14,at_Risk
12383.0,185,5,1850.5600000000002,5,4,4,54,champions
12384.0,29,2,585.2700000000001,2,2,3,22,hibernating
12386.0,338,2,401.9,5,2,2,52,potential_loyalists
12388.0,16,6,2780.6600000000003,2,4,5,24,at_Risk
12390.0,80,1,549.84,4,1,3,41,promising
12391.0,22,1,460.89,2,1,2,21,hibernating
12393.0,73,4,1582.6000000000001,4,4,4,44,loyal_customers
12394.0,64,2,1272.48,3,2,4,32,about_to_sleep
12395.0,20,12,3018.63,2,5,5,25,cant_loose
12397.0,36,2,2409.9000000000005,3,2,5,32,about_to_sleep
12398.0,46,1,1635.6599999999999,3,1,4,31,about_to_sleep
12399.0,120,4,1108.65,4,4,4,44,loyal_customers
12401.0,304,1,84.3,5,1,1,51,new_customers
12402.0,324,1,225.6,5,1,1,51,new_customers
12403.0,50,1,427.7,3,1,2,31,about_to_sleep
12405.0,149,1,1710.3900000000003,4,1,4,41,promising
12406.0,23,2,3415.3,2,2,5,22,hibernating
12407.0,50,5,1708.1199999999997,3,4,4,34,loyal_customers
12408.0,33,5,2888.55,2,4,5,24,at_Risk
12409.0,79,3,11072.67,4,3,5,43,potential_loyalists
12410.0,309,2,693.3299999999999,5,2,3,52,potential_loyalists
12412.0,75,3,1226.88,4,3,4,43,potential_loyalists
12413.0,67,3,758.1,3,3,3,33,need_attention
12414.0,218,3,562.41,5,3,3,53,potential_loyalists
12415.0,25,21,124914.53,2,5,5,25,cant_loose
12417.0,4,9,3649.1000000000004,1,5,5,15,cant_loose
12418.0,113,1,668.58,4,1,3,41,promising
12420.0,64,1,600.3900000000001,3,1,3,31,about_to_sleep
12421.0,16,4,807.0400000000001,2,4,3,24,at_Risk
12422.0,96,3,803.5599999999998,4,3,3,43,potential_loyalists
12423.0,1,8,1859.31,1,5,4,15,cant_loose
12424.0,163,2,1760.9599999999996,4,2,4,42,potential_loyalists
12425.0,79,1,777.1999999999999,4,1,3,41,promising
12426.0,195,1,582.73,5,1,3,51,new_customers
12427.0,22,3,825.8,2,3,3,23,at_Risk
12428.0,26,9,7956.46,2,5,5,25,cant_loose
12429.0,10,4,3750.4,1,4,5,14,at_Risk
12430.0,44,1,256.4,3,1,2,31,about_to_sleep
12431.0,36,15,6487.45,3,5,5,35,loyal_customers
12432.0,43,5,5059.319999999999,3,4,5,34,loyal_customers
12433.0,1,7,13375.87,1,5,5,15,cant_loose
12434.0,85,2,806.14,4,2,3,42,potential_loyalists
12435.0,80,2,7829.890000000001,4,2,5,42,potential_loyalists
12436.0,100,1,509.01000000000005,4,1,3,41,promising
12437.0,2,18,4951.41,1,5,5,15,cant_loose
12438.0,15,2,2906.8500000000004,2,2,5,22,hibernating
12441.0,367,1,173.55,5,1,1,51,new_customers
12442.0,4,1,172.06,1,1,1,11,hibernating
12444.0,22,5,5005.46,2,4,5,24,at_Risk
12445.0,23,1,133.4,2,1,1,21,hibernating
12446.0,58,1,1002.3100000000001,3,1,4,31,about_to_sleep
12447.0,244,1,476.49,5,1,2,51,new_customers
12448.0,45,1,449.4500000000001,3,1,2,31,about_to_sleep
12449.0,23,4,4067.2900000000004,2,4,5,24,at_Risk
12450.0,157,2,197.88,4,2,1,42,potential_loyalists
12451.0,11,5,9035.52,1,4,5,14,at_Risk
12452.0,17,2,430.57,2,2,2,22,hibernating
12453.0,135,1,707.0899999999999,4,1,3,41,promising
12454.0,57,1,3528.34,3,1,5,31,about_to_sleep
12455.0,74,6,2466.8599999999997,4,4,5,44,loyal_customers
12456.0,45,3,3181.04,3,3,5,33,need_attention
12457.0,67,7,2363.23,3,5,5,35,loyal_customers
12458.0,72,2,947.4,3,2,4,32,about_to_sleep
12461.0,95,2,826.88,4,2,3,42,potential_loyalists
12462.0,19,2,1189.5900000000001,2,2,4,22,hibernating
12463.0,54,4,1344.7800000000002,3,4,4,34,loyal_customers
12464.0,11,8,1212.05,1,5,4,15,cant_loose
12465.0,18,2,742.19,2,2,3,22,hibernating
12468.0,188,2,729.54,5,2,3,52,potential_loyalists
12471.0,3,30,19824.05,1,5,5,15,cant_loose
12472.0,33,7,6572.110000000001,2,5,5,25,cant_loose
12473.0,30,5,3938.55,2,4,5,24,at_Risk
12474.0,18,18,7375.79,2,5,5,25,cant_loose
12475.0,54,1,723.3799999999999,3,1,3,31,about_to_sleep
12476.0,16,11,6816.42,2,5,5,25,cant_loose
12477.0,23,6,13219.740000000002,2,4,5,24,at_Risk
12478.0,4,1,680.9900000000001,1,1,3,11,hibernating
12479.0,12,1,527.2,1,1,3,11,hibernating
12480.0,29,4,3281.6299999999997,2,4,5,24,at_Risk
12481.0,23,10,5596.32,2,5,5,25,cant_loose
12483.0,18,8,2484.98,2,5,5,25,cant_loose
12484.0,33,6,4541.719999999999,2,4,5,24,at_Risk
12488.0,10,3,1298.6600000000003,1,3,4,13,at_Risk
12489.0,337,1,334.92999999999995,5,1,2,51,new_customers
12490.0,6,10,5417.93,1,5,5,15,cant_loose
12491.0,39,1,460.40000000000003,3,1,2,31,about_to_sleep
12492.0,64,2,263.21,3,2,2,32,about_to_sleep
12493.0,166,2,433.74,4,2,2,42,potential_loyalists
12494.0,16,7,1246.1,2,5,4,25,cant_loose
12497.0,82,1,1043.1,4,1,4,41,promising
12498.0,22,3,403.7,2,3,2,23,at_Risk
12500.0,24,11,4257.820000000001,2,5,5,25,cant_loose
12501.0,337,1,2169.3900000000003,5,1,5,51,new_customers
12502.0,96,5,3723.87,4,4,5,44,loyal_customers
12504.0,19,2,482.04999999999995,2,2,2,22,hibernating
12506.0,233,1,73.50000000000001,5,1,1,51,new_customers
12507.0,135,3,1304.81,4,3,4,43,potential_loyalists
12508.0,27,2,398.27,2,2,2,22,hibernating
12509.0,285,1,176.5,5,1,1,51,new_customers
12510.0,143,2,982.5699999999999,4,2,4,42,potential_loyalists
12512.0,67,2,138.03,3,2,1,32,about_to_sleep
12513.0,113,1,612.2900000000001,4,1,3,41,promising
12514.0,268,1,1017.6800000000001,5,1,4,51,new_customers
12515.0,354,1,383.70000000000005,5,1,2,51,new_customers
12516.0,78,2,1312.06,4,2,4,42,potential_loyalists
12517.0,29,5,2502.84,2,4,5,24,at_Risk
12518.0,1,5,2056.89,1,4,4,14,at_Risk
12519.0,64,1,340.84000000000003,3,1,2,31,about_to_sleep
12520.0,80,5,2634.26,4,4,5,44,loyal_customers
12521.0,143,1,599.68,4,1,3,41,promising
12522.0,40,2,192.72000000000003,3,2,1,32,about_to_sleep
12523.0,20,11,1789.77,2,5,4,25,cant_loose
12524.0,10,8,4485.719999999999,1,5,5,15,cant_loose
12526.0,1,3,1316.6600000000003,1,3,4,13,at_Risk
12527.0,82,3,348.71000000000004,4,3,2,43,potential_loyalists
